rec_time,weight
0.04890775680541992,100
1.4269165992736816,200
1.844057321548462,300
1.880629539489746,400
1.8697714805603027,500
1.8743927478790283,600
1.8713955879211426,700
1.8808345794677734,800
1.889122486114502,900
