Size,Time
200000,2.452209949493408
400000,5.4034693241119385
600000,8.406805038452148
800000,13.006235361099243
1000000,13.791476488113403
1200000,15.822823286056519
1400000,19.792727947235107
1600000,20.818392515182495
1800000,22.470474004745483
2000000,24.081362009048462
