InsertSize,InsertTime,MergeSize,MergeTime
2500,1.1744146347045898,100000,1.3792974948883057
5000,3.669790506362915,300000,4.624337196350098
7500,7.874466419219971,500000,8.205766439437866
10000,13.02955436706543,700000,11.590627431869507
12500,21.058818817138672,900000,14.613554239273071
15000,33.70798921585083,1100000,18.006981134414673
17500,39.94395709037781,1300000,22.09798312187195
20000,48.43835520744324,1500000,26.391223669052124
